object_type,altitude_km,inclination_deg,eccentricity,mass_kg,area_m2,drag_coeff,mean_motion,solar_activity,decay_time_days
Debris,1092.3,34.29,0.0454,1006.63,12.174,1.97,14.988,Low,4000.0
Debris,385.33,76.68,0.0294,1168.87,5.1,2.29,11.175,Low,4000.0
Debris,278.97,97.27,0.0044,1840.47,18.484,2.48,14.503,Medium,1617.6
Debris,439.51,23.59,0.0225,99.27,15.509,2.47,11.115,High,282.8
Debris,994.58,85.68,0.0378,1147.43,11.493,1.96,15.312,Low,4000.0
Debris,234.67,81.4,0.0397,1707.41,13.916,1.87,11.788,Medium,2111.3
Debris,782.81,22.02,0.0248,484.61,18.487,1.9,13.571,Low,1594.2
Active,1195.44,39.13,0.0447,1752.71,14.251,2.29,13.986,Low,4000.0
Debris,1055.7,40.15,0.0135,39.07,7.374,2.31,13.288,High,782.0
Debris,721.45,95.87,0.0206,1465.18,14.263,2.27,12.704,High,4000.0
Debris,263.64,17.73,0.0449,1866.29,0.815,2.04,13.339,Low,4000.0
Debris,1031.37,78.32,0.0448,1314.74,7.734,1.92,12.557,Medium,4000.0
Debris,798.98,32.75,0.0343,878.62,8.132,2.21,13.191,Low,4000.0
Debris,314.93,71.63,0.043,90.72,3.345,2.14,12.795,High,896.7
Active,293.86,41.16,0.0045,1840.31,0.471,2.31,13.831,Low,4000.0
Active,1109.63,56.68,0.0433,941.12,2.676,2.11,12.19,Low,4000.0
Active,869.2,81.6,0.0161,58.96,13.096,2.04,15.943,Medium,389.6
Active,1029.29,78.81,0.009,1379.95,16.048,2.01,13.504,High,4000.0
Debris,1078.98,84.91,0.012,964.19,19.764,1.95,11.971,Low,4000.0
Active,771.77,5.84,0.021,249.57,6.934,1.99,13.385,Medium,2735.6
Debris,717.45,67.82,0.0126,429.33,11.992,1.87,15.332,Low,1975.2
Debris,630.43,13.72,0.0161,129.92,18.744,2.04,11.109,High,592.6
Debris,516.95,40.75,0.0068,1149.01,3.349,1.83,14.398,Low,4000.0
Debris,634.6,53.76,0.0149,1244.44,14.356,1.93,13.74,High,4000.0
Debris,973.88,39.47,0.0287,1011.98,15.102,2.32,11.848,Medium,4000.0
Debris,801.92,50.92,0.0221,1634.39,1.789,2.03,15.087,Medium,4000.0
Active,1092.52,97.66,0.0174,1722.16,17.226,2.27,12.844,High,4000.0
Debris,643.38,13.25,0.0373,1231.63,16.264,2.3,12.469,High,4000.0
Debris,807.09,66.19,0.0447,26.5,0.678,2.21,15.141,Medium,2835.2
Debris,831.31,38.81,0.0379,1390.76,1.831,2.47,14.193,Low,4000.0
Debris,791.7,13.03,0.0167,836.58,0.992,1.82,15.491,Medium,4000.0
Active,902.63,15.56,0.0372,1131.55,6.702,2.32,14.149,Medium,4000.0
Debris,437.43,93.03,0.0077,1298.51,10.191,2.47,14.704,Medium,3729.8
Active,712.36,86.2,0.0066,701.12,10.652,2.4,15.182,Medium,3737.9
Active,304.22,88.89,0.0173,1834.28,5.361,1.92,11.274,Low,4000.0
Debris,584.51,97.17,0.0404,268.82,18.233,2.03,14.88,Medium,765.4
Debris,687.67,20.41,0.0124,1343.35,7.372,1.92,14.069,Medium,4000.0
Active,852.22,34.83,0.0033,9.71,0.921,2.22,11.348,Low,612.8
Active,1150.53,65.58,0.0067,1849.38,6.012,2.3,13.543,Medium,4000.0
Active,800.65,47.41,0.043,225.9,10.627,2.02,11.412,Medium,1669.5
Active,943.59,41.0,0.0317,190.67,8.17,2.18,14.68,Medium,2102.8
Debris,706.27,35.07,0.0127,666.68,5.484,2.28,13.733,Low,4000.0
Debris,834.1,58.19,0.0278,747.76,2.635,2.09,15.768,Medium,4000.0
Debris,270.93,56.41,0.0264,429.39,16.385,2.4,11.916,Low,317.6
Active,454.39,15.82,0.0328,1170.66,19.923,2.34,14.03,Medium,1907.6
Debris,561.85,46.23,0.0117,886.39,6.598,1.85,12.058,Medium,4000.0
Debris,672.49,54.24,0.0432,69.32,7.639,2.23,14.07,Medium,514.6
Debris,245.65,55.89,0.0155,639.98,12.365,1.96,14.613,Low,676.3
Debris,340.02,20.59,0.0347,1621.06,14.372,2.19,14.612,Medium,2683.9
Debris,476.81,72.74,0.0009,1379.71,7.847,2.47,15.075,High,4000.0
Active,1171.53,2.47,0.0187,1450.02,18.1,2.42,15.268,Low,4000.0
Debris,531.35,34.77,0.0177,1396.54,11.204,2.08,11.386,High,4000.0
Active,682.04,76.46,0.0272,622.64,9.013,2.0,12.716,Medium,4000.0
Debris,396.1,55.26,0.0037,200.23,12.937,1.96,14.436,Medium,501.8
Debris,810.78,25.59,0.0395,545.66,19.057,2.17,13.493,Low,1595.9
Active,480.68,68.11,0.011,1663.74,15.893,1.88,11.953,Low,3413.2
Active,406.99,55.6,0.0339,1960.96,0.81,2.18,13.764,High,4000.0
Debris,716.57,78.03,0.0402,988.2,6.653,1.8,13.037,Low,4000.0
Active,205.51,72.03,0.0281,20.39,9.416,2.03,12.95,Low,21.7
Debris,207.66,59.79,0.0371,280.95,6.297,1.95,15.049,Medium,628.0
Debris,419.07,47.84,0.0331,644.84,14.007,2.48,13.038,Low,952.0
Debris,236.72,13.05,0.0178,1157.59,16.527,2.31,11.132,Medium,986.8
Debris,308.03,25.61,0.0405,151.11,14.63,2.04,11.29,Medium,232.0
Debris,538.86,41.07,0.0148,1886.77,19.787,1.86,15.281,High,4000.0
Debris,1002.59,58.73,0.0286,730.8,5.458,2.16,15.803,Medium,4000.0
Debris,772.05,50.34,0.0373,1825.26,17.501,1.95,14.442,Low,4000.0
Debris,712.67,28.24,0.019,1561.26,15.335,2.18,12.822,Low,4000.0
Debris,493.49,0.63,0.0152,1511.12,7.25,2.38,15.693,Medium,4000.0
Active,1131.75,48.63,0.023,1213.83,14.685,2.23,14.314,Medium,4000.0
Debris,597.02,27.99,0.0409,1253.94,2.09,2.24,15.222,High,4000.0
Debris,287.09,71.99,0.0465,1276.37,15.789,2.18,14.829,Medium,1550.8
Active,817.07,2.35,0.0273,1257.81,10.651,2.45,12.896,Low,4000.0
Debris,313.84,57.31,0.0331,1107.9,5.853,2.45,13.394,High,4000.0
Debris,545.22,92.26,0.0452,1972.84,13.119,2.16,11.931,Low,4000.0
Debris,707.41,17.09,0.005,1464.85,12.836,2.01,12.46,Low,4000.0
Debris,1074.22,46.22,0.0117,1554.12,4.198,2.12,14.891,Medium,4000.0
Active,693.55,8.96,0.0355,1745.05,0.618,1.93,15.47,High,4000.0
Active,902.26,61.32,0.0412,432.06,8.678,2.25,14.622,Medium,4000.0
Debris,1192.82,53.95,0.0429,168.52,11.395,2.15,13.326,Low,1374.3
Active,331.49,39.92,0.0208,966.31,17.533,1.87,11.433,Low,1114.4
Active,474.73,51.09,0.0046,1028.65,18.565,1.94,11.285,Low,1722.6
Debris,594.58,87.86,0.0219,1658.53,10.581,2.14,12.872,Low,4000.0
Active,621.83,19.24,0.0116,888.12,15.079,2.42,13.319,Low,2084.9
Debris,611.02,2.21,0.0146,1142.14,8.792,2.2,14.046,Medium,4000.0
Active,1107.61,84.44,0.0386,1054.61,14.924,2.28,11.032,High,4000.0
Active,914.03,56.56,0.0039,77.37,4.104,2.04,15.949,Low,1306.2
Debris,807.91,87.28,0.0414,1230.81,7.428,2.2,12.82,Low,4000.0
Debris,509.37,58.5,0.0214,1656.26,12.688,2.11,15.24,High,4000.0
Debris,1023.79,79.4,0.0298,315.84,0.373,2.26,13.675,Medium,4000.0
Debris,1155.06,42.11,0.0046,1189.07,14.452,1.84,11.652,High,4000.0
Active,1021.2,73.49,0.0169,1187.63,16.712,2.15,14.988,Low,4000.0
Active,201.57,89.48,0.0046,329.21,7.989,2.01,14.549,Low,406.0
Debris,836.4,56.07,0.0481,247.8,8.964,2.03,13.637,Medium,2286.7
Debris,251.14,17.72,0.0404,1960.12,17.027,2.47,13.573,Medium,1638.0
Debris,457.61,26.34,0.023,788.04,15.515,1.93,11.437,Medium,2017.7
Debris,259.52,19.47,0.0113,455.62,5.77,2.02,14.279,Medium,1433.7
Debris,803.8,24.19,0.0467,343.48,6.486,2.16,15.556,Low,2932.2
Debris,886.59,30.03,0.0173,1335.54,13.581,2.4,11.466,Medium,4000.0
Active,314.49,54.4,0.0081,1219.28,11.268,2.09,12.318,Medium,2437.6
Debris,583.84,57.62,0.0282,1287.46,3.253,2.32,15.512,Medium,4000.0
Debris,656.24,41.8,0.0472,176.92,6.205,2.4,12.422,Medium,1455.4
Active,569.05,60.31,0.0003,1787.18,18.001,2.02,14.27,Medium,4000.0
Debris,321.03,7.99,0.012,779.14,13.767,2.07,13.674,Low,991.6
Active,618.95,8.6,0.0469,627.43,19.72,2.05,13.982,Low,1321.6
Active,951.18,16.84,0.0086,925.26,15.343,2.38,13.079,Medium,4000.0
Debris,271.01,50.77,0.0058,780.74,18.84,1.83,12.5,Low,659.0
Debris,280.18,20.97,0.0286,1727.29,4.332,2.02,11.243,Medium,4000.0
Debris,554.77,27.76,0.0431,1858.59,15.432,2.28,14.721,High,4000.0
Debris,1141.73,39.23,0.0239,607.6,0.414,2.2,14.73,Low,4000.0
Debris,868.57,79.56,0.0497,1728.01,13.418,2.11,14.354,Low,4000.0
Debris,878.67,1.36,0.034,1563.26,9.391,2.18,14.218,High,4000.0
Debris,561.92,63.64,0.0038,1861.68,6.942,1.94,12.219,Low,4000.0
Debris,793.66,65.55,0.0496,492.25,17.249,2.1,11.112,Low,1598.7
Debris,210.13,78.27,0.0205,1154.34,17.087,2.15,15.044,Low,656.9
Active,836.1,91.41,0.0144,549.81,0.456,2.43,13.456,Medium,4000.0
Debris,1113.29,1.97,0.0279,1648.36,12.194,1.98,12.534,Low,4000.0
Debris,812.57,15.07,0.0153,11.64,7.363,2.41,11.51,Medium,106.1
Debris,1073.7,86.84,0.0044,1130.07,8.319,2.25,11.314,Medium,4000.0
Active,923.97,44.93,0.0002,679.07,16.642,1.81,12.744,Low,3231.6
Debris,320.56,55.33,0.0225,646.04,6.204,2.31,15.024,Low,1631.9
Debris,1102.45,64.98,0.0419,1290.17,18.862,1.82,15.594,Medium,4000.0
Active,266.44,66.55,0.0287,1703.12,3.601,2.5,15.484,Medium,4000.0
Debris,733.97,91.31,0.05,1218.78,13.258,2.41,15.6,Low,4000.0
Active,342.14,97.7,0.0144,1706.49,13.445,2.01,15.539,Low,2488.0
Debris,211.71,70.58,0.0141,529.93,5.051,1.98,13.636,Medium,1491.4
Debris,622.03,28.15,0.0081,1039.48,6.502,2.07,12.097,High,4000.0
Debris,495.04,86.22,0.0083,901.62,16.698,2.05,14.99,Low,1677.5
Debris,686.0,4.82,0.0143,24.28,15.238,2.06,12.069,Medium,100.4
Debris,777.2,22.65,0.0397,1114.07,6.589,2.02,12.336,Low,4000.0
Active,243.74,87.94,0.0453,1323.39,10.684,2.23,12.166,Low,1408.3
Debris,323.0,25.11,0.0488,1184.24,1.243,1.91,13.575,Low,4000.0
Debris,758.64,21.62,0.0117,1472.82,4.183,2.39,12.609,Medium,4000.0
Debris,543.17,13.54,0.0441,1143.11,9.722,2.37,11.771,Medium,4000.0
Debris,929.17,84.19,0.0165,134.43,1.729,2.13,13.266,High,4000.0
Debris,852.29,49.01,0.0057,233.77,16.868,2.4,15.37,Medium,993.7
Debris,1045.6,66.14,0.0435,1193.35,14.363,1.97,13.853,High,4000.0
Debris,892.49,23.43,0.0318,550.68,18.873,1.81,15.392,Low,2209.0
Debris,629.93,74.29,0.0083,160.21,13.872,2.23,11.979,Low,451.2
Debris,872.97,74.48,0.0215,859.78,18.809,2.12,11.835,High,4000.0
Debris,475.38,30.63,0.0144,1109.09,11.095,2.2,13.878,Medium,3660.5
Debris,506.31,40.25,0.0369,658.16,12.008,2.43,13.317,High,2958.4
Debris,988.99,20.55,0.0227,1441.15,19.54,2.48,14.301,Low,4000.0
Active,646.42,95.7,0.0495,1287.9,12.846,2.24,14.973,Low,4000.0
Debris,998.38,63.27,0.0028,666.3,0.625,2.33,14.757,Medium,4000.0
Debris,1022.42,91.59,0.0178,1509.99,14.479,1.86,15.711,Low,4000.0
Debris,1057.56,29.73,0.0241,1297.74,18.11,1.91,12.991,Medium,4000.0
Active,1116.64,76.63,0.0252,1275.25,15.914,2.31,12.032,Medium,4000.0
Active,630.99,75.05,0.0159,1107.3,11.681,2.1,13.755,Low,3941.2
Debris,518.87,67.78,0.0365,23.77,13.429,2.11,11.554,Low,56.8
Debris,782.2,94.63,0.0437,1393.32,19.804,2.02,12.444,Low,4000.0
Active,571.17,38.57,0.0469,752.71,1.822,2.23,12.039,Low,4000.0
Debris,801.07,12.81,0.0403,1885.28,13.348,1.93,12.983,Medium,4000.0
Debris,905.59,65.83,0.0425,1636.15,5.675,2.24,11.556,Low,4000.0
Debris,888.41,71.47,0.0276,1175.8,12.805,1.92,11.159,Low,4000.0
Debris,574.55,56.36,0.0413,505.11,12.156,1.84,14.284,High,3491.1
Active,366.86,20.27,0.0152,408.23,3.078,2.03,14.051,Medium,3758.0
Active,630.53,49.44,0.02,681.43,4.143,1.96,14.542,Low,4000.0
Debris,342.59,30.59,0.0159,953.66,12.436,2.42,14.302,Medium,1667.5
Debris,1090.1,41.89,0.0234,592.83,2.573,1.84,11.571,High,4000.0
Debris,545.88,63.23,0.0144,1030.34,5.311,1.92,12.455,Low,4000.0
Active,354.46,73.03,0.0481,331.58,16.707,2.18,11.648,Medium,500.8
Active,225.45,22.76,0.0157,1955.45,6.549,2.14,15.215,Medium,4000.0
Active,845.82,39.72,0.005,216.74,9.766,1.83,14.735,Low,1549.8
Active,836.9,26.38,0.0264,1863.96,18.823,1.81,12.008,Medium,4000.0
Debris,540.6,19.47,0.0029,1827.24,4.551,2.49,12.707,High,4000.0
Debris,271.71,76.77,0.0056,1051.2,7.799,2.26,15.833,High,3482.9
Debris,609.63,89.11,0.011,1450.1,12.133,2.06,13.971,Low,4000.0
Active,511.22,36.28,0.0233,872.66,15.109,2.13,15.006,Low,1800.7
Debris,877.12,73.63,0.0217,1260.44,18.034,1.99,12.323,High,4000.0
Debris,805.78,87.91,0.04,681.81,18.31,2.04,12.05,Medium,2920.1
Debris,564.59,82.92,0.037,603.02,15.535,2.25,14.92,Low,1303.5
Debris,417.89,17.92,0.0214,1156.88,4.574,2.42,14.429,Medium,4000.0
Debris,1188.04,93.72,0.0168,996.76,0.506,1.93,14.405,Low,4000.0
Debris,654.0,36.91,0.0159,1159.49,7.682,2.39,13.763,Low,4000.0
Debris,888.27,33.25,0.0387,574.03,2.84,1.89,13.818,High,4000.0
Debris,340.55,6.12,0.0027,734.55,14.211,1.95,14.678,Low,1038.1
Debris,685.59,47.65,0.0007,168.71,13.226,1.83,12.35,Low,677.9
Debris,227.54,10.68,0.0398,105.5,0.889,1.9,12.764,Low,1448.1
Active,705.46,24.36,0.0239,507.66,16.734,2.44,15.358,Medium,1673.3
Debris,1164.02,31.06,0.0066,149.42,4.982,2.12,12.544,Low,2738.1
Debris,584.21,79.26,0.0119,208.45,8.65,1.85,13.732,Medium,1371.9
Active,239.0,85.8,0.0466,1626.04,13.362,2.47,14.513,Medium,1623.5
Debris,230.96,29.64,0.043,78.71,8.594,2.42,16.0,High,178.9
Active,587.99,84.15,0.0355,1318.23,8.831,2.33,13.176,Low,4000.0
Debris,360.02,84.01,0.0242,545.84,1.322,2.45,13.14,High,4000.0
Debris,223.35,74.94,0.0261,1743.22,8.035,1.95,15.213,Low,2517.9
Debris,956.21,14.38,0.0488,970.5,15.299,2.39,15.028,Medium,4000.0
Debris,658.52,67.65,0.0483,611.85,18.304,2.28,14.655,Medium,1804.1
Debris,489.24,92.61,0.0108,1035.76,8.276,2.41,13.316,Low,3257.1
Debris,1100.08,66.89,0.0406,764.53,8.477,2.36,12.62,Medium,4000.0
Active,316.14,32.5,0.0099,1129.04,14.056,2.04,14.044,Low,1399.9
Debris,1155.92,49.06,0.0108,229.95,18.856,2.34,15.381,Low,999.5
Active,513.97,63.28,0.0338,1993.98,5.349,1.98,15.419,Low,4000.0
Debris,1088.4,50.04,0.0203,851.69,8.808,2.03,11.542,Medium,4000.0
Active,802.94,11.76,0.0466,697.11,15.922,1.88,13.142,Low,2781.4
Debris,1026.71,30.58,0.0045,1420.71,12.198,2.45,13.324,Low,4000.0
Debris,1184.01,78.63,0.0256,728.43,2.221,2.0,15.888,Low,4000.0
Debris,488.41,84.42,0.0459,1666.72,12.558,2.16,14.39,Medium,4000.0
Debris,1161.14,13.46,0.0452,909.09,3.743,2.07,13.036,Medium,4000.0
Active,589.48,93.33,0.0079,1439.4,10.209,2.47,11.13,Low,4000.0
Debris,585.51,32.22,0.0184,215.8,10.587,2.03,13.827,Low,795.4
Debris,540.39,64.91,0.031,1692.39,17.525,2.34,11.48,Medium,3927.5
Debris,741.41,73.68,0.0081,1471.7,9.255,2.4,15.172,Medium,4000.0
Debris,354.15,79.57,0.0484,424.22,5.596,2.1,14.763,Medium,1983.4
Active,753.71,92.68,0.0457,291.43,4.627,2.06,13.303,High,4000.0
Active,741.7,30.67,0.0084,633.27,17.486,2.32,13.146,Low,1681.7
Active,961.9,84.13,0.0061,1952.17,3.429,2.44,15.487,High,4000.0
Debris,1033.65,12.91,0.0044,514.41,8.523,2.33,12.442,Low,4000.0
Debris,640.44,69.09,0.0455,912.8,3.752,1.96,12.245,High,4000.0
Active,502.33,72.71,0.0098,61.01,15.468,2.42,15.696,Low,105.8
Debris,459.33,66.42,0.0209,795.06,9.493,2.07,15.046,Medium,3117.1
Active,394.62,24.73,0.0225,1143.07,7.029,2.2,15.103,Low,3506.1
Active,257.65,85.56,0.03,1906.3,7.228,2.38,11.976,Low,3019.7
Active,542.45,16.55,0.0037,1033.96,17.046,1.93,11.716,High,4000.0
Debris,470.25,5.26,0.0114,1638.4,11.08,2.35,11.13,Medium,4000.0
Debris,1166.42,70.31,0.0466,1094.71,14.36,2.22,12.185,High,4000.0
Active,757.71,46.6,0.0454,82.53,17.942,2.43,14.871,Medium,279.5
Debris,547.28,83.21,0.0391,630.7,18.036,1.92,12.2,Medium,1762.1
Debris,780.47,37.57,0.0011,1151.52,6.577,2.09,14.646,Low,4000.0
Debris,339.2,16.49,0.0164,1901.24,19.05,2.38,12.26,High,3267.5
Active,644.04,81.97,0.0314,1718.4,0.507,1.81,12.976,Medium,4000.0
Debris,826.23,53.79,0.0138,457.48,7.543,1.88,15.916,Medium,4000.0
Debris,688.9,18.54,0.0455,441.0,17.917,2.49,12.224,Medium,1289.9
Debris,601.78,70.6,0.0317,403.14,5.5,2.0,12.882,Medium,4000.0
Debris,1193.85,50.09,0.0037,1845.08,5.469,2.48,12.505,High,4000.0
Active,1080.31,59.22,0.0455,1705.48,6.059,1.93,11.548,Low,4000.0
Debris,823.41,45.17,0.0479,1549.99,12.25,2.05,13.449,Low,4000.0
Debris,769.38,81.21,0.004,786.08,8.772,2.33,12.893,Low,4000.0
Active,820.66,81.3,0.0267,1009.26,14.537,2.26,14.474,Medium,4000.0
Active,401.31,69.52,0.0152,929.2,17.899,2.21,15.088,Low,1138.8
Debris,595.14,10.33,0.0197,507.54,13.487,2.17,13.721,Low,1403.2
Active,239.46,82.21,0.0091,1010.55,4.097,2.39,11.161,Low,2557.0
Debris,675.55,65.76,0.0289,61.96,18.654,1.96,14.095,Medium,215.6
Debris,743.02,68.31,0.0479,264.49,5.297,2.11,11.277,Medium,3407.0
Active,427.75,35.57,0.0252,1773.29,3.006,1.91,14.082,Low,4000.0
Active,1164.03,86.17,0.0042,1503.61,1.808,2.22,14.425,High,4000.0
Active,1109.45,71.09,0.031,846.31,11.272,1.98,11.989,High,4000.0
Active,922.14,11.03,0.0171,1034.78,2.284,2.03,15.097,Low,4000.0
Debris,733.39,39.96,0.0428,740.63,2.784,2.13,15.555,Medium,4000.0
Debris,1069.97,86.87,0.0218,1481.82,6.008,1.82,15.065,Medium,4000.0
Active,330.65,4.63,0.0097,1568.59,5.64,1.86,12.526,Low,4000.0
Debris,990.51,94.22,0.0096,1526.81,12.089,2.28,13.933,Low,4000.0
Active,324.82,66.56,0.0385,1445.5,16.337,2.1,15.574,Medium,2068.9
Active,994.21,61.87,0.0134,409.8,15.229,2.41,12.603,Medium,2347.3
Active,475.77,26.51,0.0384,676.6,5.257,2.29,15.1,Low,3399.4
Debris,1077.09,24.38,0.0104,940.22,4.914,1.81,11.047,High,4000.0
Debris,1144.04,92.32,0.0162,662.26,19.316,2.23,11.018,Medium,3879.3
Debris,348.8,29.23,0.0233,1510.13,0.175,1.87,14.799,Medium,4000.0
Debris,662.68,76.0,0.0472,659.38,17.596,2.35,14.807,Low,1483.8
Debris,1180.99,38.53,0.0466,277.33,4.003,2.49,14.945,Medium,4000.0
Debris,683.41,13.65,0.0104,798.68,18.946,2.17,15.65,Low,1881.5
Debris,1063.55,1.05,0.018,1959.85,6.853,2.28,11.59,Medium,4000.0
Debris,788.73,53.34,0.0076,452.54,8.813,1.97,12.16,Medium,4000.0
Debris,575.33,95.63,0.0255,1224.71,14.145,2.11,15.519,Medium,4000.0
Debris,485.78,36.18,0.0231,866.51,11.758,2.4,11.886,Low,1908.2
Debris,403.22,35.0,0.045,142.98,6.366,1.92,14.411,Medium,760.8
Active,961.8,33.72,0.0465,976.27,11.081,1.99,13.652,High,4000.0
Debris,586.54,51.01,0.0192,1404.63,14.617,2.11,11.416,Medium,4000.0
Debris,711.28,43.19,0.0246,1026.93,0.856,2.3,12.426,Low,4000.0
Debris,692.33,86.23,0.0448,1744.34,0.234,2.06,13.602,Medium,4000.0
Active,777.28,49.54,0.0404,578.59,9.167,2.45,15.262,Low,2949.6
Debris,1065.58,49.76,0.0003,173.41,2.645,1.87,14.538,High,4000.0
Debris,1180.74,13.56,0.0161,1873.19,13.29,2.06,14.109,Medium,4000.0
Debris,607.58,96.31,0.0211,757.01,4.289,2.3,13.48,Low,4000.0
Debris,1027.52,24.5,0.0116,1153.23,8.663,1.96,12.493,Low,4000.0
Debris,964.53,7.19,0.0101,1584.21,3.961,2.26,11.596,Low,4000.0
Debris,773.53,64.99,0.002,649.3,10.974,1.91,13.045,High,4000.0
Debris,1156.05,58.35,0.0322,1432.61,2.33,1.84,11.143,Low,4000.0
Active,400.47,40.68,0.0132,271.7,0.472,1.88,12.055,Medium,4000.0
Active,309.26,41.37,0.0027,583.3,1.032,2.45,13.162,High,4000.0
Debris,1053.96,76.94,0.0116,290.28,19.086,2.19,13.093,Low,1181.3
Debris,639.15,19.18,0.0401,1622.65,2.854,2.36,11.221,Medium,4000.0
Active,1046.97,80.38,0.0426,446.08,14.172,2.03,13.945,Medium,3486.3
Debris,1093.09,63.58,0.0242,1435.09,1.368,2.21,13.748,Medium,4000.0
Debris,262.46,41.06,0.0209,1886.65,2.172,2.15,11.391,Low,4000.0
Debris,1083.46,44.89,0.0489,1056.02,10.182,2.46,15.716,Low,4000.0
Debris,648.32,25.15,0.0101,1080.52,9.303,2.32,11.497,Medium,4000.0
Active,710.43,73.71,0.0108,922.61,19.032,2.31,15.274,High,4000.0
Active,826.59,50.26,0.0147,652.45,18.897,1.83,11.002,Low,2340.0
Debris,1126.38,31.44,0.0087,951.83,15.594,2.18,15.411,Low,4000.0
Debris,219.12,58.41,0.019,1206.01,12.046,2.13,11.099,Low,1037.6
Debris,676.84,97.58,0.0456,1972.0,9.105,2.45,14.789,High,4000.0
Debris,887.72,42.66,0.0308,1875.59,7.13,1.98,12.808,Low,4000.0
Debris,922.71,90.23,0.0207,1724.44,18.942,1.99,14.691,High,4000.0
Debris,892.53,33.81,0.0467,1778.37,12.062,2.09,13.009,Low,4000.0
Active,334.44,5.36,0.0025,936.23,11.586,1.97,11.355,High,3138.0
Debris,499.4,20.02,0.0106,1315.23,4.646,1.89,14.838,Medium,4000.0
Debris,558.72,41.03,0.0283,1790.24,0.943,2.4,11.356,Medium,4000.0
Active,1004.44,21.52,0.0308,786.51,18.904,2.19,15.611,Low,3035.6
Active,478.76,0.02,0.0021,1923.56,6.282,2.4,11.255,Medium,4000.0
Debris,410.7,89.67,0.0202,832.16,8.857,2.38,13.397,Low,1972.2
Debris,1157.45,82.7,0.0325,1202.56,2.302,2.0,14.615,Low,4000.0
Debris,208.86,72.74,0.0349,1419.9,16.74,2.18,12.966,Low,807.0
Debris,1197.82,16.45,0.0319,1901.23,0.562,1.86,12.086,High,4000.0
Debris,876.82,11.8,0.0161,489.99,16.681,2.44,14.795,Medium,2149.5
Active,1028.47,6.63,0.0048,1492.52,2.814,2.08,14.921,Medium,4000.0
Debris,494.62,70.95,0.0214,1042.11,17.732,2.08,15.613,Medium,2396.7
Debris,214.32,91.02,0.0065,537.85,14.598,2.01,12.881,Low,393.2
